,wos_catnum,excluded,included,N
85,Environmental Sciences,114.0,15.0,129.0
248,Water Resources,80.0,13.0,93.0
60,Ecology,31.0,8.0,39.0
97,Freshwater Biology,16.0,7.0,23.0
136,Marine,16.0,7.0,23.0
86,Environmental Studies,38.0,6.0,44.0
75,"Engineering, Environmental",36.0,5.0,41.0
47,"Computer Science, Interdisciplinary Applications",67.0,4.0,71.0
21,Biodiversity Conservation,10.0,4.0,14.0
106,"Geosciences, Multidisciplinary",44.0,3.0,47.0
61,Economics,26.0,3.0,29.0
15,Atmospheric Sciences,25.0,3.0,28.0
157,Meteorology,25.0,3.0,28.0
128,Law,7.0,3.0,10.0
73,"Engineering, Civil",43.0,2.0,45.0
66,Electronic,42.0,2.0,44.0
74,"Engineering, Electrical",42.0,2.0,44.0
135,Management Science,32.0,2.0,34.0
179,Operations Research,32.0,2.0,34.0
69,Energy,27.0,2.0,29.0
98,Fuels,27.0,2.0,29.0
145,"Mathematics, Applied",24.0,2.0,26.0
215,Regional,19.0,2.0,21.0
243,Urban Planning,19.0,2.0,21.0
130,Limnology,11.0,2.0,13.0
1,Agricultural Economics,9.0,2.0,11.0
94,Fisheries,9.0,2.0,11.0
203,Policy,9.0,2.0,11.0
104,Geology,7.0,2.0,9.0
89,Evolutionary Biology,6.0,2.0,8.0
233,Technology,79.0,1.0,80.0
141,"Materials Science, Multidisciplinary",67.0,1.0,68.0
46,"Computer Science, Information Systems",41.0,1.0,42.0
81,"Engineering, Multidisciplinary",34.0,1.0,35.0
4,"Agriculture, Multidisciplinary",26.0,1.0,27.0
2,Agricultural Engineering,25.0,1.0,26.0
77,"Engineering, Industrial",21.0,1.0,22.0
109,Green,21.0,1.0,22.0
232,Sustainable Science,21.0,1.0,22.0
134,Management,17.0,1.0,18.0
100,Genetics,16.0,1.0,17.0
115,Heredity,16.0,1.0,17.0
226,Soil Science,16.0,1.0,17.0
146,"Mathematics, Interdisciplinary Applications",15.0,1.0,16.0
103,"Geography, Physical",14.0,1.0,15.0
102,Geography,12.0,1.0,13.0
121,Infectious Diseases,10.0,1.0,11.0
184,Parasitology,9.0,1.0,10.0
62,Education,7.0,1.0,8.0
64,Educational Research,7.0,1.0,8.0
57,Development Studies,6.0,1.0,7.0
242,Tropical Medicine,6.0,1.0,7.0
44,"Computer Science, Cybernetics",5.0,1.0,6.0
32,"Chemistry, Analytical",49.0,0.0,49.0
5,Agronomy,40.0,0.0,40.0
71,"Engineering, Biomedical",40.0,0.0,40.0
147,Mechanics,39.0,0.0,39.0
80,"Engineering, Mechanical",37.0,0.0,37.0
192,"Physics, Applied",37.0,0.0,37.0
38,"Chemistry, Physical",35.0,0.0,35.0
72,"Engineering, Chemical",35.0,0.0,35.0
36,"Chemistry, Multidisciplinary",34.0,0.0,34.0
49,"Computer Science, Theory",34.0,0.0,34.0
123,Instrumentation,34.0,0.0,34.0
124,Instruments,34.0,0.0,34.0
148,Medical Imaging,34.0,0.0,34.0
158,Methods,34.0,0.0,34.0
214,"Radiology, Nuclear Medicine",34.0,0.0,34.0
43,"Computer Science, Artificial Intelligence",33.0,0.0,33.0
39,Clinical Neurology,31.0,0.0,31.0
166,Nanoscience,31.0,0.0,31.0
167,Nanotechnology,31.0,0.0,31.0
236,Thermodynamics,31.0,0.0,31.0
187,Pharmacology,30.0,0.0,30.0
188,Pharmacy,30.0,0.0,30.0
19,Biochemical Research Methods,26.0,0.0,26.0
195,"Physics, Fluids",26.0,0.0,26.0
202,Plasmas,26.0,0.0,26.0
177,Oceanography,25.0,0.0,25.0
95,Food Science,24.0,0.0,24.0
217,Remote Sensing,24.0,0.0,24.0
170,Neurosciences,23.0,0.0,23.0
119,Imaging Science,22.0,0.0,22.0
155,Metallurgical Engineering,22.0,0.0,22.0
156,Metallurgy,22.0,0.0,22.0
176,Occupational Health,22.0,0.0,22.0
191,Photographic Technology,22.0,0.0,22.0
200,Physiology,22.0,0.0,22.0
213,"Public, Environmental",22.0,0.0,22.0
9,Applied Microbiology,21.0,0.0,21.0
24,Biotechnology,21.0,0.0,21.0
48,"Computer Science, Software Engineering",21.0,0.0,21.0
231,Surgery,21.0,0.0,21.0
11,Architecture,19.0,0.0,19.0
180,Optics,19.0,0.0,19.0
42,Computational Biology,18.0,0.0,18.0
78,"Engineering, Manufacturing",18.0,0.0,18.0
143,Mathematical,18.0,0.0,18.0
159,Microbiology,18.0,0.0,18.0
65,Electrochemistry,17.0,0.0,17.0
76,"Engineering, Geological",17.0,0.0,17.0
160,Mineral Processing,17.0,0.0,17.0
162,Mining,17.0,0.0,17.0
168,Nephrology,17.0,0.0,17.0
172,Nuclear Science,17.0,0.0,17.0
186,Peripheral Vascular Disease,17.0,0.0,17.0
201,Plant Sciences,17.0,0.0,17.0
227,Spectroscopy,17.0,0.0,17.0
234,Telecommunications,17.0,0.0,17.0
241,Transportation Science,17.0,0.0,17.0
245,Urology,17.0,0.0,17.0
22,Biology,16.0,0.0,16.0
23,Biophysics,16.0,0.0,16.0
34,"Chemistry, Inorganic",16.0,0.0,16.0
90,Experimental,16.0,0.0,16.0
153,"Medicine, Research",16.0,0.0,16.0
171,Nuclear,16.0,0.0,16.0
196,"Physics, Mathematical",16.0,0.0,16.0
221,Services,16.0,0.0,16.0
238,Toxicology,16.0,0.0,16.0
20,Biochemistry,14.0,0.0,14.0
25,Building Technology,14.0,0.0,14.0
33,"Chemistry, Applied",14.0,0.0,14.0
50,Construction,14.0,0.0,14.0
82,"Engineering, Ocean",14.0,0.0,14.0
163,Molecular Biology,14.0,0.0,14.0
250,Zoology,14.0,0.0,14.0
45,"Computer Science, Hardware",13.0,0.0,13.0
111,Health Care Sciences,13.0,0.0,13.0
117,Horticulture,13.0,0.0,13.0
126,Internal,13.0,0.0,13.0
152,"Medicine, General",13.0,0.0,13.0
229,Sport Sciences,13.0,0.0,13.0
59,Dietetics,12.0,0.0,12.0
79,"Engineering, Marine",12.0,0.0,12.0
93,Films,12.0,0.0,12.0
96,Forestry,12.0,0.0,12.0
137,"Materials Science, Biomaterials",12.0,0.0,12.0
139,"Materials Science, Coatings",12.0,0.0,12.0
174,Nutrition,12.0,0.0,12.0
205,Polymer Science,12.0,0.0,12.0
246,Veterinary Sciences,12.0,0.0,12.0
13,Astronomy,11.0,0.0,11.0
14,Astrophysics,11.0,0.0,11.0
28,Cardiac,11.0,0.0,11.0
29,Cardiovascular Systems,11.0,0.0,11.0
31,Chemical,11.0,0.0,11.0
68,Endocrinology,11.0,0.0,11.0
149,Medical Informatics,11.0,0.0,11.0
154,Metabolism,11.0,0.0,11.0
193,"Physics, Atomic, Molecular",11.0,0.0,11.0
3,"Agriculture, Dairy",10.0,0.0,10.0
7,Animal Science,10.0,0.0,10.0
17,Automation,10.0,0.0,10.0
26,Business,10.0,0.0,10.0
51,Control Systems,10.0,0.0,10.0
56,"Dentistry, Oral Surgery",10.0,0.0,10.0
101,Geochemistry,10.0,0.0,10.0
105,Geophysics,10.0,0.0,10.0
151,Medicine,10.0,0.0,10.0
164,Multidisciplinary Sciences,10.0,0.0,10.0
194,"Physics, Condensed Matter",10.0,0.0,10.0
244,Urban Studies,10.0,0.0,10.0
0,Acoustics,9.0,0.0,9.0
110,Gynecology,9.0,0.0,9.0
175,Obstetrics,9.0,0.0,9.0
197,"Physics, Multidisciplinary",9.0,0.0,9.0
240,Transportation,9.0,0.0,9.0
206,Probability,8.0,0.0,8.0
230,Statistics,8.0,0.0,8.0
239,Transplantation,8.0,0.0,8.0
30,Cell Biology,7.0,0.0,7.0
52,Critical Care Medicine,7.0,0.0,7.0
208,"Psychology, Biological",7.0,0.0,7.0
224,"Social Sciences, Interdisciplinary",7.0,0.0,7.0
18,Behavioral Sciences,6.0,0.0,6.0
83,"Engineering, Petroleum",6.0,0.0,6.0
84,Entomology,6.0,0.0,6.0
108,Gerontology,6.0,0.0,6.0
118,"Hospitality, Leisure, Sport",6.0,0.0,6.0
142,"Materials Science, Paper",6.0,0.0,6.0
144,Mathematics,6.0,0.0,6.0
169,Neuroimaging,6.0,0.0,6.0
185,Pediatrics,6.0,0.0,6.0
207,Psychiatry,6.0,0.0,6.0
220,Robotics,6.0,0.0,6.0
237,Tourism,6.0,0.0,6.0
249,Wood,6.0,0.0,6.0
120,Immunology,5.0,0.0,5.0
138,"Materials Science, Characterization",5.0,0.0,5.0
216,Rehabilitation,5.0,0.0,5.0
219,Respiratory System,5.0,0.0,5.0
235,Testing,5.0,0.0,5.0
41,Complementary Medicine,4.0,0.0,4.0
54,Crystallography,4.0,0.0,4.0
70,"Engineering, Aerospace",4.0,0.0,4.0
99,Gastroenterology,4.0,0.0,4.0
107,Geriatrics,4.0,0.0,4.0
114,Hepatology,4.0,0.0,4.0
116,History,4.0,0.0,4.0
122,Information Science,4.0,0.0,4.0
125,Integrative,4.0,0.0,4.0
129,Library Science,4.0,0.0,4.0
140,"Materials Science, Composites",4.0,0.0,4.0
161,Mineralogy,4.0,0.0,4.0
183,Paleontology,4.0,0.0,4.0
190,Philosophy Of Science,4.0,0.0,4.0
198,"Physics, Nuclear",4.0,0.0,4.0
6,Anesthesiology,3.0,0.0,3.0
8,Anthropology,3.0,0.0,3.0
10,Archaeology,3.0,0.0,3.0
27,"Business, Finance",3.0,0.0,3.0
35,"Chemistry, Medicinal",3.0,0.0,3.0
91,Fields,3.0,0.0,3.0
112,Health Policy,3.0,0.0,3.0
113,Hematology,3.0,0.0,3.0
181,Orthopedics,3.0,0.0,3.0
199,"Physics, Particles",3.0,0.0,3.0
223,"Social Sciences, Biomedical",3.0,0.0,3.0
16,Audiology,2.0,0.0,2.0
37,"Chemistry, Organic",2.0,0.0,2.0
55,Cultural Studies,2.0,0.0,2.0
58,Developmental Biology,2.0,0.0,2.0
63,"Education, Scientific Disciplines",2.0,0.0,2.0
127,International Relations,2.0,0.0,2.0
131,Linguistics,2.0,0.0,2.0
165,Mycology,2.0,0.0,2.0
173,Nursing,2.0,0.0,2.0
204,Political Science,2.0,0.0,2.0
225,Sociology,2.0,0.0,2.0
228,Speech-Language Pathology,2.0,0.0,2.0
247,Virology,2.0,0.0,2.0
12,Area Studies,1.0,0.0,1.0
40,Communication,1.0,0.0,1.0
53,Criticism,1.0,0.0,1.0
67,Emergency Medicine,1.0,0.0,1.0
87,Ethics,1.0,0.0,1.0
88,Ethnic Studies,1.0,0.0,1.0
92,"Film, Radio, Television",1.0,0.0,1.0
132,Literary Theory,1.0,0.0,1.0
133,Logic,1.0,0.0,1.0
150,Medical Laboratory Technology,1.0,0.0,1.0
178,Oncology,1.0,0.0,1.0
182,Otorhinolaryngology,1.0,0.0,1.0
189,Philosophy,1.0,0.0,1.0
209,"Psychology, Clinical",1.0,0.0,1.0
210,"Psychology, Experimental",1.0,0.0,1.0
211,"Psychology, Social",1.0,0.0,1.0
212,Public Administration,1.0,0.0,1.0
218,Reproductive Biology,1.0,0.0,1.0
222,Social Issues,1.0,0.0,1.0
